Risk-On_n,Risk-On_4wk_avg,Risk-On_4wk_wr,Risk-On_13wk_avg,Risk-On_13wk_wr,Risk-On_26wk_avg,Risk-On_26wk_wr,Defensive_n,Defensive_4wk_avg,Defensive_4wk_wr,Defensive_13wk_avg,Defensive_13wk_wr,Defensive_26wk_avg,Defensive_26wk_wr,Neutral_n,Neutral_4wk_avg,Neutral_4wk_wr,Neutral_13wk_avg,Neutral_13wk_wr,Neutral_26wk_avg,Neutral_26wk_wr,Spread_26wk,Threshold_Def,Threshold_RO,EWMA_Span,Hysteresis
8,0.005374805906056032,0.625,0.016359064161935485,0.625,0.0639556504533131,0.875,9,-0.008922767701266345,0.4444444444444444,0.010033452480202376,0.625,0.0369681052788436,0.75,17,0.002323633821950875,0.5294117647058824,0.02706548919746879,0.8235294117647058,0.08061184161698352,0.8823529411764706,0.026987545174469496,6,-6,5,3
21,0.00985425276153249,0.7142857142857143,0.02813584721510386,0.7142857142857143,0.07360462917146952,0.8095238095238095,16,0.012709534300635435,0.625,0.03646275102109971,0.7333333333333333,0.051568520274397886,0.7857142857142857,37,0.0057869260446599,0.6756756756756757,0.03539786526691814,0.8108108108108109,0.07570324691268929,0.8611111111111112,0.022036108897071638,5,-5,3,5
21,0.00985425276153249,0.7142857142857143,0.02813584721510386,0.7142857142857143,0.07360462917146952,0.8095238095238095,16,0.012709534300635435,0.625,0.03646275102109971,0.7333333333333333,0.051568520274397886,0.7857142857142857,37,0.0057869260446599,0.6756756756756757,0.03539786526691814,0.8108108108108109,0.07570324691268929,0.8611111111111112,0.022036108897071638,5,-5,3,0
21,0.00985425276153249,0.7142857142857143,0.02813584721510386,0.7142857142857143,0.07360462917146952,0.8095238095238095,16,0.012709534300635435,0.625,0.03646275102109971,0.7333333333333333,0.051568520274397886,0.7857142857142857,37,0.0057869260446599,0.6756756756756757,0.03539786526691814,0.8108108108108109,0.07570324691268929,0.8611111111111112,0.022036108897071638,5,-5,3,3
11,0.0005908145306360302,0.5454545454545454,0.007923284307820461,0.6363636363636364,0.06811386701685856,0.8181818181818182,10,-0.0019209126681557609,0.5,0.016219685014868604,0.6666666666666666,0.04801297153757966,0.7777777777777778,22,0.002425019140646311,0.5238095238095238,0.0333455926697625,0.7619047619047619,0.09013820501618339,0.8095238095238095,0.020100895479278902,7,-7,3,0
11,0.0005908145306360302,0.5454545454545454,0.007923284307820461,0.6363636363636364,0.06811386701685856,0.8181818181818182,10,-0.0019209126681557609,0.5,0.016219685014868604,0.6666666666666666,0.04801297153757966,0.7777777777777778,22,0.002425019140646311,0.5238095238095238,0.0333455926697625,0.7619047619047619,0.09013820501618339,0.8095238095238095,0.020100895479278902,7,-7,3,5
11,0.0005908145306360302,0.5454545454545454,0.007923284307820461,0.6363636363636364,0.06811386701685856,0.8181818181818182,10,-0.0019209126681557609,0.5,0.016219685014868604,0.6666666666666666,0.04801297153757966,0.7777777777777778,22,0.002425019140646311,0.5238095238095238,0.0333455926697625,0.7619047619047619,0.09013820501618339,0.8095238095238095,0.020100895479278902,7,-7,3,3
8,0.02316888479276201,0.75,0.031394453209404136,0.75,0.08555177767211165,0.875,7,-0.004563712793564315,0.42857142857142855,0.03591156291423112,0.8333333333333334,0.06829826434339263,0.8333333333333334,15,0.011094485422030998,0.8,0.04828740541983727,0.8666666666666667,0.10858642653320216,0.9333333333333333,0.017253513328719022,5,-5,7,5
8,0.02316888479276201,0.75,0.031394453209404136,0.75,0.08555177767211165,0.875,7,-0.004563712793564315,0.42857142857142855,0.03591156291423112,0.8333333333333334,0.06829826434339263,0.8333333333333334,15,0.011094485422030998,0.8,0.04828740541983727,0.8666666666666667,0.10858642653320216,0.9333333333333333,0.017253513328719022,5,-5,7,3
8,0.02316888479276201,0.75,0.031394453209404136,0.75,0.08555177767211165,0.875,7,-0.004563712793564315,0.42857142857142855,0.03591156291423112,0.8333333333333334,0.06829826434339263,0.8333333333333334,15,0.011094485422030998,0.8,0.04828740541983727,0.8666666666666667,0.10858642653320216,0.9333333333333333,0.017253513328719022,5,-5,7,0
